"Date","Price","Open","High","Low","Vol.","Change %"
"01/30/2025","166.75","167.32","167.48","165.93","1.08M","0.31%"
"01/29/2025","166.23","167.32","167.29","165.88","4.85M","0.02%"
"01/28/2025","166.19","168.91","169.59","166.11","6.72M","-2.05%"
"01/27/2025","169.66","166.72","169.94","166.11","9.17M","3.38%"
"01/24/2025","164.12","165.91","165.91","163.20","6.20M","-1.22%"
"01/23/2025","166.15","163.88","166.48","163.32","7.61M","0.86%"
"01/22/2025","164.74","167.10","168.14","164.44","14.36M","1.87%"
"01/21/2025","161.72","160.96","162.35","160.96","13.91M","0.37%"
"01/17/2025","161.13","159.74","161.75","159.60","7.26M","0.39%"
"01/16/2025","160.50","159.62","160.58","159.13","5.77M","0.53%"
"01/15/2025","159.65","160.59","161.15","159.34","8.06M","-0.06%"
"01/14/2025","159.74","158.85","160.07","158.31","5.98M","0.57%"
"01/13/2025","158.84","159.35","160.09","158.41","6.77M","0.18%"
"01/10/2025","158.56","160.15","161.21","157.47","8.50M","-2.18%"
"01/08/2025","162.10","160.99","162.40","160.57","4.97M","0.50%"
"01/07/2025","161.30","161.46","162.61","160.74","8.45M","0.44%"
"01/06/2025","160.60","162.81","163.50","160.44","8.73M","-2.74%"
"01/03/2025","165.13","166.25","166.50","164.25","5.26M","-0.51%"
"01/02/2025","165.98","168.09","168.71","165.91","5.40M","-1.00%"
"12/31/2024","167.65","167.36","168.08","166.59","3.96M","0.34%"
"12/30/2024","167.09","168.66","168.98","166.71","4.35M","-1.44%"
"12/27/2024","169.53","169.42","170.76","169.26","4.37M","-0.37%"
"12/26/2024","170.16","168.31","170.30","168.07","3.63M","0.72%"
"12/24/2024","168.94","167.62","169.18","167.42","2.46M","0.49%"
"12/23/2024","168.11","168.06","168.68","166.36","6.98M","0.03%"
"12/20/2024","168.06","168.87","169.87","167.50","22.00M","-0.67%"
"12/19/2024","169.19","169.01","170.10","167.35","8.59M","0.07%"
"12/18/2024","169.08","169.76","170.56","169.02","7.52M","-0.73%"
"12/17/2024","170.33","170.67","171.95","170.02","6.07M","-0.47%"
"12/16/2024","171.14","171.45","172.78","171.10","5.94M","0.05%"
"12/13/2024","171.06","170.77","171.79","170.12","3.88M","0.12%"
"12/12/2024","170.85","171.43","171.82","170.02","4.07M","0.13%"
"12/11/2024","170.63","173.01","173.39","170.40","5.24M","-0.96%"
"12/10/2024","172.28","170.42","172.93","169.93","6.22M","0.87%"
"12/09/2024","170.79","173.63","173.76","170.43","7.16M","-1.74%"
"12/06/2024","173.82","175.37","176.74","173.75","5.74M","-1.26%"
"12/05/2024","176.03","174.86","176.46","174.45","5.02M","0.53%"
"12/04/2024","175.11","174.17","175.15","173.46","6.82M","-0.18%"
"12/03/2024","175.42","178.77","179.62","175.20","8.13M","-2.38%"
"12/02/2024","179.70","179.12","180.16","178.01","5.73M","0.25%"
"11/29/2024","179.26","178.70","179.63","178.28","3.82M","-0.06%"
"11/27/2024","179.36","180.00","180.43","178.73","5.52M","0.03%"
"11/26/2024","179.31","177.20","179.46","177.20","6.28M","1.08%"
"11/25/2024","177.39","177.48","178.82","176.90","19.36M","0.63%"
"11/22/2024","176.28","174.15","177.40","173.88","10.61M","2.04%"
"11/21/2024","172.75","171.66","173.51","170.22","6.24M","1.09%"
"11/20/2024","170.89","170.01","171.07","169.51","7.08M","0.08%"
"11/19/2024","170.76","170.69","171.17","169.66","5.68M","0.01%"
"11/18/2024","170.75","169.11","171.45","168.83","6.68M","0.71%"
"11/15/2024","169.54","167.94","170.57","166.88","9.94M","1.47%"
"11/14/2024","167.08","166.71","168.04","166.51","7.44M","0.30%"
"11/13/2024","166.58","166.06","166.79","165.68","5.41M","0.45%"
"11/12/2024","165.84","166.14","167.06","165.57","6.51M","-0.11%"
"11/11/2024","166.03","167.00","168.52","165.77","6.36M","-1.00%"
"11/08/2024","167.71","164.01","167.75","163.93","7.51M","2.63%"
"11/07/2024","163.41","161.96","163.95","161.48","9.06M","1.47%"
"11/06/2024","161.05","165.61","166.04","159.81","11.47M","-2.84%"
"11/05/2024","165.76","164.33","166.32","164.33","4.40M","0.41%"
"11/04/2024","165.08","165.72","166.27","164.58","5.13M","-0.01%"
"11/01/2024","165.10","165.31","166.35","164.99","5.46M","-0.05%"
"10/31/2024","165.18","165.76","167.04","165.09","6.06M","-0.59%"
"10/30/2024","166.16","167.09","167.32","165.96","5.52M","-0.60%"
"10/29/2024","167.17","168.86","168.86","166.83","5.68M","-1.26%"
"10/28/2024","169.30","169.28","169.66","168.38","5.75M","0.64%"
"10/25/2024","168.22","168.92","169.40","168.04","4.88M","-0.83%"
"10/24/2024","169.62","169.42","169.96","168.93","5.86M","0.02%"
"10/23/2024","169.58","169.55","170.17","168.73","4.84M","-0.07%"
"10/22/2024","169.70","168.57","170.73","168.57","7.51M","0.09%"
"10/21/2024","169.54","170.98","171.48","168.45","5.52M","-1.02%"
"10/18/2024","171.28","170.30","172.21","168.46","8.37M","-0.58%"
"10/17/2024","172.28","172.18","173.68","171.76","7.05M","-0.06%"
"10/16/2024","172.38","171.88","172.59","170.89","6.12M","-0.69%"
"10/15/2024","173.57","172.89","174.90","172.82","7.17M","0.61%"
"10/14/2024","172.51","171.02","172.84","170.74","5.91M","0.83%"
"10/11/2024","171.09","169.46","171.41","168.97","7.04M","1.27%"
"10/10/2024","168.95","168.80","169.79","168.37","6.93M","-0.19%"
"10/09/2024","169.27","168.38","169.80","168.00","8.76M","0.66%"
"10/08/2024","168.16","166.85","168.59","166.27","7.47M","0.62%"
"10/07/2024","167.12","169.16","169.58","166.87","6.33M","-1.04%"
"10/04/2024","168.88","168.85","170.09","168.26","6.00M","-0.73%"
"10/03/2024","170.12","171.37","171.37","169.77","4.79M","-1.05%"
"10/02/2024","171.92","172.01","172.45","171.08","6.21M","-0.65%"
"10/01/2024","173.04","173.24","174.00","172.20","7.13M","-0.09%"
"09/30/2024","173.20","173.73","174.00","172.71","6.30M","-0.20%"
"09/27/2024","173.55","173.01","174.45","172.58","4.60M","0.20%"
"09/26/2024","173.21","171.50","174.61","171.36","4.96M","0.55%"
"09/25/2024","172.26","174.07","174.68","172.06","8.92M","-0.57%"
"09/24/2024","173.24","172.88","174.50","172.62","5.42M","-0.31%"
"09/23/2024","173.77","174.01","175.18","172.59","10.27M","-0.26%"
"09/20/2024","174.22","171.51","174.54","171.50","28.65M","1.56%"
"09/19/2024","171.54","172.88","173.16","170.38","8.69M","-1.37%"
"09/18/2024","173.92","175.05","175.90","172.57","5.10M","-1.11%"
"09/17/2024","175.88","176.63","176.97","175.36","4.76M","-0.77%"
"09/16/2024","177.24","174.71","177.31","174.32","6.89M","1.82%"
"09/13/2024","174.08","173.37","174.54","172.80","3.92M","0.35%"
"09/12/2024","173.47","173.90","174.61","172.44","4.84M","-0.26%"
"09/11/2024","173.92","176.60","177.00","173.63","6.83M","-2.18%"
"09/10/2024","177.79","175.91","177.94","175.91","6.40M","0.98%"
"09/09/2024","176.06","175.54","176.84","174.66","6.45M","0.27%"
"09/06/2024","175.59","175.76","177.04","175.34","5.79M","0.07%"
"09/05/2024","175.47","175.99","176.55","174.67","6.06M","-0.24%"
"09/04/2024","175.90","173.63","176.00","173.63","7.52M","0.79%"
"09/03/2024","174.52","171.03","175.00","170.99","10.10M","1.74%"
"08/30/2024","171.54","170.16","171.88","169.69","7.30M","0.89%"
"08/29/2024","170.03","169.75","170.60","168.94","4.41M","0.57%"
"08/28/2024","169.06","169.42","171.20","168.58","5.65M","-0.11%"
"08/27/2024","169.25","170.83","171.10","169.08","4.46M","-0.65%"
"08/26/2024","170.35","168.70","170.97","168.70","6.47M","0.70%"
"08/23/2024","169.17","170.05","170.11","168.25","4.77M","-0.58%"
"08/22/2024","170.15","170.88","171.24","169.14","4.10M","-0.01%"
"08/21/2024","170.16","170.19","171.89","169.60","4.08M","-0.15%"
"08/20/2024","170.41","168.77","170.56","168.11","4.51M","1.18%"
"08/19/2024","168.42","168.18","169.24","168.17","3.89M","0.32%"
"08/16/2024","167.89","167.82","168.35","166.80","5.64M","-0.02%"
"08/15/2024","167.92","169.46","169.68","166.75","9.49M","-0.52%"
"08/14/2024","168.80","166.50","169.47","165.82","5.48M","0.90%"
"08/13/2024","167.29","167.34","167.80","166.46","3.77M","0.29%"
"08/12/2024","166.81","169.40","169.65","166.20","7.21M","-2.19%"
"08/09/2024","170.54","170.12","171.26","169.65","5.38M","-0.19%"
"08/08/2024","170.87","169.42","171.56","169.00","6.39M","0.50%"
"08/07/2024","170.02","168.57","171.72","168.01","8.39M","1.15%"
"08/06/2024","168.09","167.90","170.33","167.85","7.45M","0.02%"
"08/05/2024","168.06","170.88","170.88","166.67","10.34M","-1.19%"
"08/02/2024","170.08","167.44","170.35","165.15","11.90M","2.65%"
"08/01/2024","165.69","160.88","166.30","160.68","12.53M","3.07%"
"07/31/2024","160.76","160.81","162.86","159.21","9.66M","-0.58%"
"07/30/2024","161.70","161.79","162.38","158.04","15.75M","-4.84%"
"07/29/2024","169.93","168.85","170.54","168.11","6.80M","0.48%"
"07/26/2024","169.11","167.25","169.32","167.03","5.58M","1.32%"
"07/25/2024","166.90","168.32","170.09","166.87","7.34M","-0.65%"
"07/24/2024","168.00","166.32","168.28","165.57","5.91M","0.83%"
"07/23/2024","166.62","168.11","168.42","166.32","4.86M","-0.97%"
"07/22/2024","168.25","167.93","168.70","167.70","6.38M","0.17%"
"07/19/2024","167.96","167.97","169.04","167.13","6.60M","-0.28%"
"07/18/2024","168.44","168.80","170.92","168.28","5.93M","-0.59%"
"07/17/2024","169.44","167.75","170.17","167.33","7.98M","1.49%"
"07/16/2024","166.95","164.91","167.07","164.61","6.38M","1.44%"
"07/15/2024","164.58","166.47","166.62","164.46","5.75M","-1.22%"
"07/12/2024","166.61","166.22","167.64","166.02","4.68M","0.65%"
"07/11/2024","165.54","166.30","166.63","164.78","5.83M","-0.76%"
"07/10/2024","166.80","165.90","166.92","165.54","5.04M","0.69%"
"07/09/2024","165.66","166.63","166.76","165.14","4.39M","-0.52%"
"07/08/2024","166.52","165.95","166.67","165.62","5.14M","0.79%"
"07/05/2024","165.21","164.01","165.63","163.50","6.51M","0.84%"
"07/03/2024","163.83","163.21","164.21","162.98","2.98M","-0.04%"
"07/02/2024","163.90","162.58","164.04","161.71","5.45M","0.73%"
"07/01/2024","162.72","165.59","166.21","162.20","7.64M","-1.33%"
"06/28/2024","164.92","166.00","167.24","164.58","9.25M","-1.02%"
"06/27/2024","166.62","167.49","168.10","165.50","5.01M","-0.50%"
"06/26/2024","167.45","166.05","167.81","165.66","5.16M","0.36%"
"06/25/2024","166.85","168.63","168.91","165.90","8.32M","-0.95%"
"06/24/2024","168.45","168.76","169.41","167.48","7.57M","0.11%"
"06/21/2024","168.26","167.48","168.88","167.18","14.68M","0.35%"
"06/20/2024","167.67","168.37","168.78","166.86","8.48M","-0.53%"
"06/18/2024","168.56","167.03","168.65","166.94","5.11M","0.63%"
"06/17/2024","167.50","165.85","168.71","165.40","6.76M","0.43%"
"06/14/2024","166.79","165.99","166.93","165.25","3.69M","0.23%"
"06/13/2024","166.41","164.47","167.00","164.47","4.90M","0.74%"
"06/12/2024","165.18","167.50","167.64","164.22","5.47M","-1.37%"
"06/11/2024","167.48","166.97","167.50","166.02","3.95M","0.08%"
"06/10/2024","167.35","166.78","167.71","166.08","4.11M","0.17%"
"06/07/2024","167.06","168.40","168.97","166.84","4.56M","-0.84%"
"06/06/2024","168.47","165.83","168.58","165.08","6.30M","1.46%"
"06/05/2024","166.05","167.01","167.01","164.98","5.24M","-0.57%"
"06/04/2024","167.01","164.79","167.12","164.40","6.28M","1.43%"
"06/03/2024","164.65","163.93","166.24","163.63","5.83M","0.07%"
"05/31/2024","164.54","162.44","164.77","161.97","10.34M","1.21%"
"05/30/2024","162.58","161.65","162.70","161.48","4.76M","0.58%"
"05/29/2024","161.65","162.65","162.74","161.42","4.36M","-0.90%"
"05/28/2024","163.11","164.49","164.76","162.26","6.47M","-1.34%"
"05/24/2024","165.33","165.85","166.31","165.15","3.82M","-0.10%"
"05/23/2024","165.49","167.29","168.11","165.32","4.73M","-1.38%"
"05/22/2024","167.81","168.01","168.43","167.63","4.54M","-0.32%"
"05/21/2024","168.35","167.76","168.54","167.29","5.15M","0.62%"
"05/20/2024","167.31","167.55","167.88","166.79","3.80M","-0.20%"
"05/17/2024","167.64","167.67","168.00","166.88","4.70M","-0.13%"
"05/16/2024","167.86","166.93","168.34","166.59","6.79M","0.81%"
"05/15/2024","166.51","165.31","166.68","165.12","5.10M","0.45%"
"05/14/2024","165.76","165.53","166.07","163.95","6.01M","-0.07%"
"05/13/2024","165.87","166.85","167.65","165.36","5.73M","-0.59%"
"05/10/2024","166.85","166.09","167.36","165.70","4.88M","0.49%"
"05/09/2024","166.04","165.05","166.33","165.05","4.67M","0.59%"
"05/08/2024","165.07","165.98","166.37","164.93","4.58M","-0.42%"
"05/07/2024","165.76","164.98","166.04","164.59","6.43M","0.80%"
"05/06/2024","164.44","164.78","164.98","163.26","5.47M","-0.01%"
"05/03/2024","164.46","163.54","164.71","162.16","5.58M","0.38%"
"05/02/2024","163.84","163.54","164.49","162.64","5.65M","0.27%"
"05/01/2024","163.40","163.28","164.24","162.22","7.54M","0.12%"
"04/30/2024","163.20","161.84","163.35","161.60","8.11M","0.95%"
"04/29/2024","161.66","161.17","161.79","160.41","4.62M","0.23%"
"04/26/2024","161.29","162.50","163.32","160.49","5.66M","-0.78%"
"04/25/2024","162.55","162.97","164.32","162.08","7.09M","-0.03%"
"04/24/2024","162.60","161.20","162.86","159.42","7.22M","0.68%"
"04/23/2024","161.50","161.68","162.10","160.41","7.71M","0.60%"
"04/22/2024","160.54","158.43","161.29","157.25","8.93M","1.52%"
"04/19/2024","158.14","154.98","158.18","153.52","12.03M","0.54%"
"04/18/2024","157.29","156.34","157.63","155.96","7.82M","0.21%"
"04/17/2024","156.96","156.30","157.12","155.74","6.62M","0.65%"
"04/16/2024","155.95","155.85","156.94","155.66","6.10M","0.32%"
"04/15/2024","155.45","156.42","156.82","155.33","5.75M","0.08%"
"04/12/2024","155.33","155.22","155.97","154.74","6.77M","-0.33%"
"04/11/2024","155.84","157.55","157.60","155.77","8.21M","-0.89%"
"04/10/2024","157.24","155.65","157.58","155.65","7.79M","0.37%"
"04/09/2024","156.66","156.27","156.75","155.70","4.61M","0.40%"
"04/08/2024","156.04","155.97","156.70","155.63","5.48M","-0.04%"
"04/05/2024","156.10","155.29","157.06","154.69","5.12M","0.42%"
"04/04/2024","155.45","156.88","157.08","155.41","6.80M","-0.45%"
"04/03/2024","156.15","160.63","160.88","155.68","9.60M","-2.75%"
"04/02/2024","160.57","159.64","160.71","159.64","6.77M","-0.01%"
"04/01/2024","160.58","161.78","162.07","159.80","5.97M","-1.03%"
"03/28/2024","162.25","162.82","163.14","161.70","7.19M","-0.22%"
"03/27/2024","162.61","161.36","162.74","161.34","6.60M","1.28%"
"03/26/2024","160.55","160.36","161.14","160.14","5.84M","0.22%"
"03/25/2024","160.19","161.17","161.66","159.73","7.15M","-0.91%"
"03/22/2024","161.66","162.20","162.41","161.47","6.39M","-0.12%"
"03/21/2024","161.86","162.09","162.46","161.12","5.21M","-0.08%"
"03/20/2024","161.99","162.01","162.40","161.47","4.87M","0.10%"
"03/19/2024","161.83","161.80","162.17","161.17","6.15M","0.38%"
"03/18/2024","161.21","161.48","162.72","161.00","6.09M","-0.11%"
"03/15/2024","161.38","160.70","161.50","160.30","10.96M","-0.07%"
"03/14/2024","161.50","162.24","162.62","161.13","5.85M","-0.49%"
"03/13/2024","162.30","162.38","162.73","161.33","5.41M","0.23%"
"03/12/2024","161.93","161.82","162.52","161.23","4.23M","0.24%"
"03/11/2024","161.55","161.34","162.62","160.82","5.17M","0.75%"
"03/08/2024","160.35","159.85","161.24","158.29","5.08M","-0.17%"
"03/07/2024","160.62","159.95","160.91","159.47","4.78M","0.66%"
"03/06/2024","159.57","159.68","159.99","158.91","5.41M","0.16%"
"03/05/2024","159.32","159.46","159.99","158.78","4.48M","-0.15%"
"03/04/2024","159.56","157.74","159.76","157.67","3.84M","0.45%"
"03/01/2024","158.85","158.05","159.03","157.61","4.82M","-0.06%"
"02/29/2024","158.94","159.93","160.11","158.18","8.35M","-0.69%"
"02/28/2024","160.05","159.07","160.12","158.64","3.80M","0.47%"
"02/27/2024","159.30","159.41","159.80","158.96","3.87M","-0.57%"
"02/26/2024","160.22","161.02","161.17","160.07","4.53M","-0.50%"
"02/23/2024","161.03","160.60","161.74","160.16","5.49M","0.29%"
"02/22/2024","160.56","159.46","161.09","158.63","6.62M","0.10%"
"02/21/2024","160.40","159.19","160.40","159.19","7.12M","1.19%"
"02/20/2024","158.51","158.70","159.79","158.13","6.62M","0.63%"
"02/16/2024","157.51","157.04","158.45","156.67","6.62M","0.32%"
"02/15/2024","157.01","156.30","157.42","156.15","6.25M","0.89%"
"02/14/2024","155.63","156.16","156.16","154.91","5.73M","-0.41%"
"02/13/2024","156.27","157.75","158.97","155.48","6.05M","-0.53%"
"02/12/2024","157.11","157.36","157.61","155.49","5.48M","-0.20%"
"02/09/2024","157.42","158.26","158.34","156.96","5.98M","-0.77%"
"02/08/2024","158.64","158.80","159.10","157.77","6.12M","-0.30%"
"02/07/2024","159.12","159.10","159.83","158.74","7.21M","0.10%"
"02/06/2024","158.96","158.30","159.07","157.87","6.19M","0.47%"
"02/05/2024","158.21","158.17","159.00","157.55","6.93M","0.08%"
"02/02/2024","158.09","158.97","159.60","157.52","7.94M","-0.68%"
"02/01/2024","159.18","156.77","159.30","156.62","7.60M","1.30%"
"01/31/2024","157.14","157.99","158.50","156.70","8.87M","-0.22%"
"01/30/2024","157.49","156.34","157.92","155.82","7.79M","0.85%"